Thời Gian,Người Dùng,Hành Động,Phương Thức
2025-12-26 10:58:24,nguyenbangdo,BẬT SuperTV,Global_Gesture
2025-12-26 10:58:27,nguyenbangdo,TẮT SuperTV,Global_Gesture
2025-12-26 10:58:27,nguyenbangdo,BẬT SuperTV,Personal_Gesture
2025-12-26 11:44:13,nguyenbangdo,BẬT Quạt Trần,Global_Gesture
2025-12-26 11:44:50,nguyenbangdo,TẮT SuperTV,Global_Gesture
2025-12-26 11:44:52,nguyenbangdo,BẬT Đèn Chính,Global_Gesture
2025-12-26 11:44:53,nguyenbangdo,TẮT Quạt Trần,Global_Gesture
2025-12-26 11:44:57,nguyenbangdo,BẬT SuperTV,Personal_Gesture
2025-12-26 11:44:58,nguyenbangdo,TẮT Đèn Chính,Global_Gesture
2025-12-26 11:44:58,nguyenbangdo,TẮT SuperTV,Global_Gesture
2025-12-26 11:44:58,nguyenbangdo,BẬT SuperTV,Personal_Gesture
2025-12-26 11:44:59,nguyenbangdo,TẮT SuperTV,Global_Gesture
2025-12-26 11:44:59,nguyenbangdo,BẬT SuperTV,Personal_Gesture
2025-12-26 11:44:59,nguyenbangdo,TẮT SuperTV,Global_Gesture
2025-12-26 11:44:59,nguyenbangdo,BẬT SuperTV,Personal_Gesture
2025-12-26 11:45:00,nguyenbangdo,TẮT SuperTV,Global_Gesture
2025-12-26 11:45:00,nguyenbangdo,BẬT SuperTV,Personal_Gesture
2025-12-26 11:45:00,nguyenbangdo,TẮT SuperTV,Global_Gesture
2025-12-26 11:45:01,nguyenbangdo,BẬT SuperTV,Personal_Gesture
2025-12-26 11:45:01,nguyenbangdo,TẮT SuperTV,Global_Gesture
2025-12-26 11:45:01,nguyenbangdo,BẬT SuperTV,Personal_Gesture
2025-12-26 11:45:01,nguyenbangdo,TẮT SuperTV,Global_Gesture
2025-12-26 11:45:01,nguyenbangdo,BẬT SuperTV,Personal_Gesture
2025-12-26 11:45:02,nguyenbangdo,BẬT Đèn Chính,Global_Gesture
2025-12-26 11:45:04,nguyenbangdo,TẮT Đèn Chính,Global_Gesture
2025-12-26 11:45:04,nguyenbangdo,TẮT SuperTV,Global_Gesture
2025-12-26 11:45:05,nguyenbangdo,BẬT SuperTV,Personal_Gesture
